orf_length_med	shannon_slope	at_skew	gc_skew	max_direction	phmms	status
-6.0	0	0.7574563965186815	0.7765722493396824	9	1.1359908227692457	0
-30.0	0	0.7953666293414915	0.816234971399537	9	1.1359908227692457	0
-67.5	0	0.8139374977580608	0.8522919914539503	9	1.1359908227692457	0
-30.0	0	0.8269961114156444	0.8906397045988779	10	1.1359908227692457	0
-91.5	0	0.8083592508909252	0.9257248036582112	11	1.1359908227692457	0
-78.0	0	0.8206003724374835	0.9445251070055611	12	1.1359908227692457	0
-91.5	0	0.8239450866439165	0.9264041120822326	13	1.4997583298652666	0
-51.0	0	0.8284881893465585	0.9138332285369194	14	1.8074538406514837	0
-64.5	0	0.8355375994324421	0.9091760850419596	15	1.9549011156004505	0
-51.0	0	0.8389300108416292	0.9159678551357369	16	1.9549011156004505	0
-40.5	0	0.828262972854578	0.9077141013775022	17	1.9549011156004505	0
-30.0	0	0.8303967432686757	0.9139364442579926	18	1.9549011156004505	0
-64.5	0	0.8390090538468173	0.9191664878955833	19	1.9549011156004505	0
-51.0	0	0.8700613883501944	0.9324879198251483	19	1.9549011156004505	0
-40.5	0	0.8796341067846855	0.9368397191903733	19	1.9549011156004505	0
3.0	0	0.8918109018144568	0.94325642925365	19	1.9549011156004505	0
-40.5	0	0.9063429838851299	0.97349623257811	19	1.9549011156004505	0
-51.0	0	0.9123718670480334	0.9876564458425993	19	1.9549011156004505	0
-40.5	0	0.9327353051475178	0.9881462501862349	20	1.9549011156004505	0
-30.0	0	0.9488581803443673	0.9893276521781319	21	1.9549011156004505	0
-55.5	0	0.9555935758286409	1.0023295487824568	22	1.9549011156004505	0
-40.5	0	0.9931426257341518	1.0216808759151637	23	1.9549011156004505	0
-40.5	0	0.9860452951462093	1.0332418137029804	24	2.2304056400695584	0
-40.5	0	0.9690361070685919	1.0168419601716245	25	2.2304056400695584	0
-13.5	0	0.9476934674554992	1.0147313094335773	26	2.2304056400695584	0
10.5	0	0.9660528050196656	1.016773169067009	27	2.2304056400695584	0
24.0	0	1.0126214553863149	1.0002566416107603	28	2.2304056400695584	0
10.5	0	0.9760053102868614	0.9813718737638722	29	1.918329556964541	0
